dv2_rank_high_to_low,lga_code,lga_name,state_abbrev,vulnerable_pct_dv2,vulnerable_n_dv2,valid_scores_n_dv2,dv2_vulnerability_quartile,is_high_dv2_lga,usual_resident_population,irsd_score,irsd_australia_decile,irsd_australia_percentile,irsd_disadvantage_group,irsad_score,irsad_australia_decile,ier_score,ier_australia_decile,ieo_score,ieo_australia_decile,n_services,services_per_10000_population,total_approved_places,approved_places_per_10000_population,mean_train_distance_km,median_train_distance_km,mean_bus_distance_km,median_bus_distance_km,mean_nearest_transport_distance_km,median_nearest_transport_distance_km,transport_distance_quartile,pct_within_1km_any_transport,pct_farther_than_5km_any_transport
317,16260,Parramatta,NSW,9.36497754971135,292.0,3118.0,Q2 lower-middle DV2,False,256729.0,1029.494701,9.0,83.0,Most advantaged: IRSD deciles 9-10,1069.916648,10.0,982.5191089,6.0,1097.129039,10.0,189.0,7.3618484861468705,12311.0,479.53289266113296,1.0619554309658237,0.930454324499607,5.556859297700399,5.65421828616187,1.018800799649243,0.88705052698804,Q1 closest to transport,55.02645502645503,0.0
318,53360,Exmouth,WA,9.30232558139535,4.0,43.0,Q2 lower-middle DV2,False,3085.0,1037.801316,9.0,86.0,Most advantaged: IRSD deciles 9-10,1001.870794,8.0,997.4623087,7.0,945.7948791,6.0,1.0,3.2414910858995136,24.0,77.79578606158833,397.586988262056,397.586988262056,763.032901312274,763.032901312274,397.586988262056,397.586988262056,Q4 farthest from transport,0.0,100.0
319,26430,Strathbogie,VIC,9.25925925925926,10.0,108.0,Q2 lower-middle DV2,False,11455.0,981.9917555,6.0,53.0,Middle: IRSD deciles 5-6,954.1825635,6.0,985.0476835,6.0,965.1343355,7.0,12.0,10.475774770842426,511.0,446.09340899170667,1.8396340251244936,0.745618517189911,31.19567730460973,27.184882208283,1.8396340251244936,0.745618517189911,Q1 closest to transport,83.33333333333334,8.333333333333332
320,52870,Donnybrook-Balingup,WA,9.19540229885057,8.0,87.0,Q2 lower-middle DV2,False,6155.0,986.8907914,6.0,56.0,Middle: IRSD deciles 5-6,961.3408157,6.0,1024.766421,9.0,933.6728211,5.0,1.0,1.6246953696181965,36.0,58.48903330625508,14.1918132061099,14.1918132061099,173.802717938834,173.802717938834,14.1918132061099,14.1918132061099,Q3 relatively far from transport,0.0,100.0
321,41060,Charles Sturt,SA,9.15780866721177,112.0,1223.0,Q2 lower-middle DV2,False,121840.0,1000.728304,7.0,67.0,Advantaged: IRSD deciles 7-8,993.0683771,8.0,968.8251692,4.0,1005.407965,8.0,69.0,5.663164806303349,4858.0,398.71963230466184,1.2245058538707383,0.977313379979283,11.973154206042013,12.0251771009384,1.2245058538707383,0.977313379979283,Q1 closest to transport,53.62318840579711,0.0
322,54310,Karratha,WA,9.13705583756345,36.0,394.0,Q2 lower-middle DV2,False,22199.0,1052.009031,10.0,91.0,Most advantaged: IRSD deciles 9-10,1035.389733,9.0,1019.467437,9.0,955.9297374,6.0,16.0,7.207531870804991,803.0,361.7280057660255,195.42622670527996,195.46994978374696,922.976943239751,922.5452293428154,195.42622670527996,195.46994978374696,Q4 farthest from transport,0.0,100.0
323,26730,Warrnambool,VIC,9.06593406593407,33.0,364.0,Q2 lower-middle DV2,False,35406.0,994.9477931,7.0,64.0,Advantaged: IRSD deciles 7-8,961.073322,6.0,982.0992819,6.0,957.0102432,7.0,32.0,9.038016155453878,1712.0,483.53386431678246,2.613311482539914,2.259042100902336,148.50116089855325,148.77269626798102,2.613311482539914,2.259042100902336,Q2 relatively close to transport,12.5,6.25
324,14650,Lake Macquarie,NSW,9.04121110176619,215.0,2378.0,Q2 lower-middle DV2,False,213845.0,1003.652499,7.0,69.0,Advantaged: IRSD deciles 7-8,981.2876473,7.0,1011.335779,8.0,962.7966457,7.0,166.0,7.76263181276158,10575.0,494.5170567467091,4.246975372226803,3.737724824085435,6.180811139989452,5.749472518755695,4.2066272243521645,3.737724824085435,Q2 relatively close to transport,9.63855421686747,33.13253012048193
325,17200,Sydney,NSW,9.0146750524109,86.0,954.0,Q2 lower-middle DV2,False,211632.0,1030.561684,9.0,84.0,Most advantaged: IRSD deciles 9-10,1125.762362,10.0,886.7228499,2.0,1158.030811,10.0,132.0,6.237242004989794,9337.0,441.19036818628564,0.7233848718430238,0.739878586599934,2.0706772560176185,2.10484724664308,0.7202845157758929,0.739878586599934,Q1 closest to transport,73.48484848484848,0.0
326,40310,Barossa,SA,8.984375,23.0,256.0,Q2 lower-middle DV2,False,25066.0,1014.263514,8.0,75.0,Advantaged: IRSD deciles 7-8,975.5474182,7.0,1024.98069,9.0,954.7038281,6.0,24.0,9.574722731987553,1170.0,466.7677331843932,9.96330747307839,7.36594703541763,37.94685731515576,39.7660919932614,9.96330747307839,7.36594703541763,Q3 relatively far from transport,4.166666666666666,87.5
