dv2_vulnerability_quartile,n_lgas,mean_dv2,median_dv2,mean_services_per_10000_population,median_services_per_10000_population,mean_approved_places_per_10000_population,mean_pct_high_quality_services,mean_pct_below_meeting_nqs_services,mean_nearest_transport_distance_km,median_nearest_transport_distance_km,mean_pct_within_1km_any_transport,mean_pct_farther_than_5km_any_transport
Q1 lowest DV2,114,5.7639542692046035,6.2814578749019905,7.125768723357748,7.094718008868272,380.9591522048899,19.716342460040224,13.885472117010101,23.343386603906147,2.34391228017418,27.333020045383144,37.546773175996236
Q2 lower-middle DV2,114,10.118577529984062,10.11895863083015,6.875937842846051,6.853846081338227,385.9998322287419,19.056506091658267,12.439036484255993,29.0480825172851,3.78534691568552,16.720079712995677,50.163944146389376
Q3 upper-middle DV2,114,13.62501507399037,13.600850232665,7.087284445118195,6.993894922026337,356.87077476767024,16.59557845254379,14.946930667866818,35.481953034359314,3.66955152926941,18.83084140655561,52.43578335189472
Q4 highest DV2,114,24.896851397117665,20.4647435897436,7.571810335709171,6.9179907028680745,317.07736435478984,15.193592621412531,19.72582412856794,76.89288127687566,17.9095046610501,15.852215337349826,66.51140598904136
