lga_code,lga_name,state_abbrev,vulnerable_pct_dv1,vulnerable_pct_dv2,vulnerable_pct_language,vulnerable_pct_communication,dv2_vulnerability_quartile,usual_resident_population,irsd_australia_decile,irsd_disadvantage_group,mean_google_overall_rating,median_google_overall_rating,mean_individual_rating,median_individual_rating,pct_5_star_individual_reviews,pct_1_or_2_star_individual_reviews,n_reviewed_service_names,n_review_rows,n_comment_rows,pct_review_rows_with_comment,pct_services_with_google_review_data,avg_comment_words_per_comment,pct_high_quality_services,median_nearest_transport_distance_km
89399,Unincorporated ACT,ACT,26.6980619452998,13.2863340563991,6.45686380900705,9.16320260256642,Q3 upper-middle DV2,453890.0,10.0,Most advantaged: IRSD deciles 9-10,4.525,4.4,4.469750889679715,5.0,70.8185053380783,6.049822064056939,4.0,281.0,212.0,75.44483985765125,1.0638297872340423,39.2122641509434,44.06779661016949,5.629401294549205
10500,Bayside (NSW),NSW,18.1290322580645,8.38168923275306,3.79909851899549,7.4002574002574,Q2 lower-middle DV2,175184.0,7.0,Advantaged: IRSD deciles 7-8,4.633333333333334,4.7,4.640522875816994,5.0,86.9281045751634,7.18954248366013,3.0,153.0,118.0,77.12418300653596,2.6785714285714284,73.0,25.0,0.8765575908413386
10750,Blacktown,NSW,23.2806052269601,12.0843332190607,7.66991953432631,10.5497516698065,Q3 upper-middle DV2,396776.0,6.0,Middle: IRSD deciles 5-6,4.164285714285714,4.199999999999999,4.008652657601978,5.0,68.97404202719407,22.867737948084056,14.0,809.0,646.0,79.85166872682325,4.878048780487805,51.51393188854489,18.939393939393938,1.59713011361677
10900,Blue Mountains,NSW,15.4963680387409,6.28019323671498,3.25301204819277,3.6144578313253,Q1 lowest DV2,78121.0,9.0,Most advantaged: IRSD deciles 9-10,4.9,4.9,4.877551020408164,5.0,95.91836734693877,2.0408163265306123,1.0,49.0,47.0,95.91836734693877,1.7543859649122806,80.63829787234043,21.428571428571427,0.786791411975584
11450,Camden,NSW,18.5660781166399,8.02568218298555,4.8689138576779,7.16194548369856,Q1 lowest DV2,119325.0,9.0,Most advantaged: IRSD deciles 9-10,4.6000000000000005,4.6,4.556213017751479,5.0,85.79881656804734,10.059171597633137,3.0,169.0,129.0,76.33136094674556,3.296703296703297,69.51937984496124,21.176470588235293,5.81006553786656
11500,Campbelltown (NSW),NSW,25.5354200988468,13.022113022113,8.87888707037643,10.8615761535321,Q3 upper-middle DV2,176519.0,3.0,Disadvantaged: IRSD deciles 3-4,4.357142857142857,4.6,4.31858407079646,5.0,79.64601769911505,15.634218289085547,7.0,339.0,269.0,79.35103244837758,5.035971223021583,75.77695167286245,15.037593984962406,1.4549713304759
11520,Canada Bay,NSW,15.1699029126214,7.51515151515151,3.38983050847458,4.47941888619855,Q1 lowest DV2,89177.0,10.0,Most advantaged: IRSD deciles 9-10,4.4,4.4,4.351851851851852,5.0,81.48148148148148,14.814814814814811,2.0,108.0,78.0,72.22222222222221,3.278688524590164,46.82051282051282,27.86885245901639,1.63429960456525
11570,Canterbury-Bankstown,NSW,25.2638380357527,12.8748928877464,8.12433011789925,12.248824283882,Q3 upper-middle DV2,371006.0,2.0,Most disadvantaged: IRSD deciles 1-2,4.483333333333333,4.7,4.537803138373752,5.0,85.59201141226819,10.841654778887303,12.0,701.0,551.0,78.60199714693296,4.040404040404041,56.21234119782214,12.05673758865248,0.868782785032833
11650,Central Coast (NSW),NSW,20.5493651204975,9.91991733402222,6.19834710743802,6.89388071262587,Q2 lower-middle DV2,346596.0,7.0,Advantaged: IRSD deciles 7-8,3.95,3.95,3.891089108910891,5.0,67.32673267326733,25.742574257425744,2.0,101.0,57.0,56.43564356435643,0.9009009009009008,44.6140350877193,26.146788990825687,3.327299004848665
11720,Cessnock,NSW,28.4644194756554,17.103620474407,7.36579275905119,10.7365792759051,Q4 highest DV2,63632.0,3.0,Disadvantaged: IRSD deciles 3-4,4.7,4.7,4.716666666666667,5.0,91.66666666666666,6.666666666666667,1.0,60.0,51.0,85.0,2.564102564102564,59.64705882352941,7.894736842105263,11.4470765583787
11800,Coffs Harbour,NSW,23.1051344743276,9.65770171149144,8.80195599022005,6.47921760391198,Q2 lower-middle DV2,78759.0,5.0,Middle: IRSD deciles 5-6,3.5,3.5,3.511111111111111,5.0,57.77777777777777,35.55555555555556,1.0,45.0,19.0,42.22222222222222,1.7857142857142856,57.10526315789474,26.785714285714285,3.565278788884225
12380,Cumberland,NSW,24.6921581335062,12.3340887018453,7.86153348430929,11.0859728506787,Q3 upper-middle DV2,235439.0,2.0,Most disadvantaged: IRSD deciles 1-2,4.6625,4.8,4.566532258064516,5.0,85.28225806451613,9.274193548387096,8.0,496.0,466.0,93.9516129032258,4.571428571428571,55.31115879828326,9.146341463414634,0.930937452478232
12850,Fairfield,NSW,28.6563071297989,15.4512306289881,9.66271649954421,16.3023679417122,Q3 upper-middle DV2,208475.0,1.0,Most disadvantaged: IRSD deciles 1-2,4.866666666666666,5.0,4.902857142857143,5.0,97.14285714285714,2.2857142857142856,3.0,175.0,157.0,89.71428571428571,2.459016393442623,60.08917197452229,13.79310344827586,2.982389285837905
12930,Georges River,NSW,17.5656984785615,7.19225449515906,4.08587257617729,8.56945404284727,Q1 lowest DV2,152274.0,8.0,Advantaged: IRSD deciles 7-8,4.5,4.4,4.53125,5.0,81.25,9.151785714285714,9.0,448.0,347.0,77.45535714285714,7.894736842105263,65.50432276657061,17.142857142857142,0.738307878562613
13310,Goulburn Mulwaree,NSW,22.4089635854342,10.6442577030812,7.84313725490196,5.32212885154062,Q2 lower-middle DV2,32053.0,5.0,Middle: IRSD deciles 5-6,3.8,3.8,3.78,4.0,49.0,23.0,1.0,100.0,55.0,55.00000000000001,4.545454545454546,49.81818181818182,9.523809523809524,1.692979493192565
13800,Hawkesbury,NSW,18.6440677966102,8.34419817470665,4.5632333767927,5.60625814863103,Q2 lower-middle DV2,67207.0,8.0,Advantaged: IRSD deciles 7-8,4.1,4.1,4.05,5.0,71.66666666666667,21.666666666666668,1.0,60.0,50.0,83.33333333333334,1.639344262295082,58.88,11.11111111111111,3.34216523472705
14000,Hornsby,NSW,15.5378486055777,6.19670267197271,2.21716884593519,5.10783200908059,Q1 lowest DV2,151811.0,10.0,Most advantaged: IRSD deciles 9-10,4.3,4.4,4.215151515151515,5.0,74.54545454545455,17.87878787878788,6.0,330.0,236.0,71.51515151515152,4.6875,61.20338983050848,15.447154471544716,0.8483088572536875
14170,Inner West,NSW,15.1255358236375,6.84178375076359,2.32131948686622,5.85365853658537,Q1 lowest DV2,182818.0,10.0,Most advantaged: IRSD deciles 9-10,4.15,4.15,4.061111111111111,5.0,71.66666666666667,21.666666666666668,2.0,180.0,138.0,76.66666666666667,1.2903225806451613,45.391304347826086,24.65753424657534,0.63539054429473
14650,Lake Macquarie,NSW,18.3811129848229,9.04121110176619,4.62768195204039,6.72551492223623,Q2 lower-middle DV2,213845.0,7.0,Advantaged: IRSD deciles 7-8,4.9,4.9,4.934426229508197,5.0,93.44262295081968,0.0,1.0,61.0,20.0,32.78688524590164,0.6024096385542169,20.35,20.91503267973856,3.737724824085435
